# source: topology|BGP|20100129|routeviews2
# source: topology|BGP|20100129|Ripe NCC RCC12
# type    label
# ----    -----
#   -1    customer
#    0    peer
# format:as0 | as1 | type
174|21013|-1
174|21057|-1
174|21070|-1
174|21073|-1
174|21130|-1
174|21159|-1
174|21213|-1
174|21219|-1
174|21220|-1
174|21232|-1
174|21235|-1
174|21250|-1
174|21260|-1
174|21267|-1
174|21351|-1
174|21396|-1
174|21409|-1
174|21462|-1
174|21472|-1
174|21488|-1
174|21505|-1
174|21513|-1
174|21538|-1
174|21547|-1
174|21552|-1
174|21555|-1
174|21570|-1
174|21580|-1
174|21581|-1
174|21589|-1
174|21591|-1
174|21597|-1
174|21622|-1
174|21623|-1
174|21636|-1
174|21640|-1
174|21661|-1
174|21665|-1
174|21677|-1
174|21709|-1
174|21710|-1
174|21714|-1
174|21724|-1
174|21777|-1
174|21788|-1
174|21793|-1
174|21797|-1
174|21833|-1
174|21879|-1
174|21889|-1
174|21942|-1
174|21943|-1
174|21949|-1
174|21965|-1
174|21976|-1
174|21981|-1
174|21986|-1
174|21991|-1
174|21994|-1
174|22030|-1
174|22037|-1
174|22044|-1
174|22064|-1
174|22088|-1
174|22095|-1
174|22104|-1
174|22107|-1
174|22114|-1
174|22116|-1
174|22131|-1
174|22151|-1
174|22157|-1
174|22187|-1
174|22195|-1
174|22197|-1
174|22255|-1
174|22275|-1
174|22279|-1
174|22288|-1
174|22290|-1
174|22299|-1
174|22324|-1
174|22344|-1
174|22349|-1
174|22356|-1
174|22361|-1
174|22364|-1
174|22400|-1
174|22402|-1
174|22412|-1
174|22414|-1
174|22421|-1
174|22449|-1
174|22457|-1
174|22476|-1
174|22478|-1
174|22479|-1
174|22481|-1
174|22507|-1
174|22513|-1
174|22544|-1
174|22551|-1
174|22566|-1
174|22579|-1
174|22591|-1
174|22620|-1
174|22624|-1
174|22633|-1
174|22644|-1
174|22645|-1
174|22651|-1
174|22652|-1
174|22654|-1
174|22668|-1
174|22681|-1
174|22691|-1
174|22710|-1
174|22716|-1
174|22721|-1
174|22738|-1
174|22754|-1
174|22759|-1
174|22773|-1
174|22775|-1
174|22801|-1
174|22806|-1
174|22808|-1
174|22820|-1
174|22834|-1
174|22850|-1
174|22886|-1
174|22892|-1
174|22922|-1
174|22925|-1
174|22954|-1
174|22973|-1
174|22980|-1
174|22995|-1
174|23004|-1
174|23008|-1
174|23010|-1
174|23028|-1
174|23041|-1
174|23051|-1
174|23070|-1
174|23088|-1
174|23089|-1
174|23097|-1
174|23102|-1
174|23136|-1
174|23148|-1
174|23172|-1
174|23174|-1
174|23194|-1
174|23224|-1
174|23232|-1
174|23234|-1
174|23237|-1
174|23255|-1
174|23263|-1
174|23297|-1
174|23308|-1
174|23325|-1
174|23326|-1
174|23385|-1
174|23387|-1
174|23406|-1
174|23419|-1
174|23441|-1
174|23449|-1
174|23498|-1
174|23515|-1
174|23520|-1
174|23521|-1
174|23532|-1
174|23537|-1
174|24594|-1
174|24637|-1
174|24640|-1
174|24641|-1
174|24673|-1
174|24711|-1
174|24720|-1
174|24730|-1
174|24739|-1
174|24776|-1
174|24785|-1
174|24806|-1
174|24851|-1
174|24867|-1
174|24875|-1
174|24889|-1
174|24919|-1
174|24963|-1
174|24964|-1
174|24973|-1
174|25026|-1
174|25042|-1
174|25137|-1
174|25144|-1
174|25148|-1
174|25170|-1
174|25279|-1
174|25286|-1
174|25351|-1
174|25376|-1
174|25424|-1
174|25466|-1
174|25467|-1
174|25478|-1
174|25512|-1
174|25521|-1
174|25540|-1
174|25588|-1
174|25614|-1
174|25626|-1
174|25627|-1
174|25630|-1
174|25668|-1
174|25672|-1
174|25673|-1
174|25677|-1
174|25686|-1
174|25689|-1
174|25693|-1
174|25700|-1
174|25706|-1
174|25765|-1
174|25778|-1
174|25805|-1
174|25808|-1
174|25809|-1
174|25818|-1
174|25826|-1
174|25844|-1
174|25871|-1
174|25881|-1
174|25890|-1
174|25899|-1
174|25902|-1
174|25912|-1
174|25952|-1
174|25953|-1
174|25976|-1
174|26004|-1
174|26006|-1
174|26015|-1
174|26018|-1
174|26038|-1
174|26053|-1
174|26071|-1
174|26098|-1
174|26113|-1
174|26117|-1
174|26143|-1
174|26146|-1
174|26168|-1
174|26172|-1
174|26176|-1
174|26200|-1
174|26235|-1
174|26240|-1
174|26251|-1
174|26277|-1
174|26285|-1
174|26288|-1
174|26289|-1
174|26291|-1
174|26292|-1
174|26337|-1
174|26338|-1
174|26347|-1
174|26367|-1
174|26388|-1
174|26393|-1
174|26447|-1
174|26456|-1
174|26458|-1
174|26477|-1
174|26486|-1
174|26522|-1
174|26531|-1
174|26538|-1
174|26541|-1
174|26542|-1
174|26554|-1
174|26566|-1
